Samplers,Date,Fish #,Tag #,Recap?,Section #,Species,Gear,Length ,Weight (g),Age,Size Class,Sex,Stomach?,Salmon total,Coho,Sockeye,UI Salmon,Stickleback ,Sculpin,Longnose Sucker,Pike,Burbot,Lamprey,UI Fish,Scud,Dragon Fly,Water tiger,Damsel Fly,Caddis Fly,Stonefly,Mayfly,Chironomid,Beetle,Spider,Wasp,Clam/mussel,Snail,Leech,Water Boatman,White worm,Roundworm,Worm,Moth,Maggot,UI Invert,Mammal,Bird,Eggs,Other (specify),Total Inverts,Comments
PB EH,6/19/2019,1483,,,1,NP,Gillnet,320,,,> 310,F,Y,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Otter pred, no weight"
PB EH,6/19/2019,1484,,,1,NP,Gillnet,320,259,,> 310,F,Y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/19/2019,1485,,,1,NP,Gillnet,331,324,,> 310,U,Y,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/20/2019,1486,,,2,NP,Gillnet,604,1790,,> 310,F,Y,,,,,,,,,,,,,19,,,,,,,,,,,1,2,,,,,,,,,,,,22,
PB EH,6/20/2019,1487,,,2,NP,Gillnet,334,286,,> 310,M,Y,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,
PB EH,6/20/2019,1488,,,2,NP,Gillnet,340,293,,> 310,M,Y,1,1,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,
PB EH,6/20/2019,1489,,,2,NP,Gillnet,290,197,,< 310,M,Y,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
PB EH,6/20/2019,1490,,,2,NP,Gillnet,313,234,,> 310,F,Y,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
PB EH,6/20/2019,1491,,,2,NP,Gillnet,309,233,,< 310,F,Y,,,,,,,,,,,,2,8,,,,,,,,,,,,2,,,,,,,,,,,,12,
PB EH,6/20/2019,1492,,,2,NP,Gillnet,353,313,,> 310,F,Y,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
PB EH,6/20/2019,1493,,,2,NP,Gillnet,302,228,,< 310,M,Y,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/20/2019,1494,,,2,NP,Gillnet,335,280,,> 310,M,Y,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
PB EH,6/20/2019,1495,,,2,NP,Gillnet,287,183,,< 310,M,Y,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
PB EH,6/20/2019,1496,2074,R,2,NP,Gillnet,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Otter pred, no stomach"
PB EH,6/20/2019,1497,,,2,NP,Gillnet,275,168,,< 310,M,Y,6,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
PB EH,6/20/2019,1498,,,2,NP,Gillnet,308,217,,< 310,M,Y,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/20/2019,1499,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Otter pred, head only, no cleithra"
PB EH,6/20/2019,1500,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"otter pred, heady only"
PB EH,6/20/2019,1501,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"otter pred, heady only"
PB EH,6/20/2019,1502,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"otter pred, heady only"
PB EH,6/20/2019,1503,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"otter pred, heady only, no cleithra"
PB EH,6/20/2019,1504,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"otter pred, heady only, no cleithra"
PB EH,6/20/2019,1505,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"otter pred, heady only, no cleithra, no oto"
PB EH,6/20/2019,1506,,,2,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"otter pred, heady only, no cleithra, no oto"
