PERMIT,HARVDATE,LOCATION,TANNER,USE,,OLD_NAME
1126188,12/15/2017,,3,SPORT,,H
1126297,12/15/2017,,3,SPORT,,H
1126306,12/15/2017,,3,SPORT,,H
1126415,12/15/2017,,3,SPORT,,H
1126633,12/16/2017,E,3,SPORT,,E
1126742,2/4/2017,E,3,SPORT,,E
1126742,2/18/2017,E,3,SPORT,,E
1126742,2/21/2017,E,3,SPORT,,E
1126742,12/16/2017,E,3,SPORT,,E
1126742,12/30/2017,E,3,SPORT,,E
1126960,12/16/2017,E,3,SPORT,,E
1127143,1/2/2017,E,3,SPORT,,E
1127143,1/4/2017,E,3,SPORT,,E
1127143,12/17/2017,E,3,SPORT,,E
1127252,12/16/2017,E,3,SPORT,,E
1127252,12/21/2017,E,3,SPORT,,E
1127361,1/21/2017,E,3,SPORT,,E
1127361,12/16/2017,E,3,SPORT,,E
1127470,1/27/2017,E,3,SPORT,,E
1127470,2/10/2017,E,3,SPORT,,E
1127470,12/16/2017,E,3,SPORT,,E
1127579,12/18/2017,E,3,SPORT,,E
1127579,12/20/2017,E,1,SPORT,,E
1127579,12/21/2017,E,1,SPORT,,E
1127579,12/22/2017,E,1,SPORT,,E
1127579,12/23/2017,E,1,SPORT,,E
1127688,12/17/2017,E,3,SPORT,,E
1127688,12/23/2017,E,3,SPORT,,E
1127688,12/24/2017,E,3,SPORT,,E
1127797,12/18/2017,E,3,SPORT,,E
1127806,12/18/2017,E,3,SPORT,,E
1127915,12/18/2017,E,3,SPORT,,E
1128179,1/26/2017,E,3,SPORT,,E
1128179,2/3/2017,E,3,SPORT,,E
1128179,2/4/2017,E,3,SPORT,,E
1128179,2/5/2017,E,3,SPORT,,E
1128179,2/16/2017,E,3,SPORT,,E
1128179,12/17/2017,E,3,SPORT,,E
1128179,12/21/2017,E,3,SPORT,,E
1128288,12/18/2017,E,0,SPORT,,E
1128288,12/20/2017,E,0,SPORT,,E
1128288,12/21/2017,E,0,SPORT,,E
1128288,12/22/2017,E,0,SPORT,,E
1128288,12/23/2017,E,0,SPORT,,E
1128397,12/18/2017,E,3,SPORT,,E
1128397,12/20/2017,E,0,SPORT,,E
1128397,12/21/2017,E,0,SPORT,,E
1128397,12/22/2017,E,0,SPORT,,E
1128397,12/23/2017,E,0,SPORT,,E
1128406,12/18/2017,E,0,SPORT,,E
1128406,12/20/2017,E,0,SPORT,,E
1128406,12/21/2017,E,0,SPORT,,E
1128406,12/22/2017,E,0,SPORT,,E
1128406,12/23/2017,E,0,SPORT,,E
1128515,12/18/2017,E,0,SPORT,,E
1128515,12/20/2017,E,0,SPORT,,E
1128515,12/21/2017,E,0,SPORT,,E
1128515,12/22/2017,E,0,SPORT,,E
1128515,12/23/2017,E,0,SPORT,,E
1128624,12/18/2017,E,3,SPORT,,E
1128733,12/11/2017,,2,SPORT,,COOL INLET AREA
1128842,12/19/2017,,0,SPORT,,SOUTHCENTRAL/COOKINLET/HOMER
1128951,1/15/2017,E,1,SPORT,,E
1129025,12/23/2017,,0,SPORT,,HOMER
1129461,12/19/2017,E,1,SPORT,,E
1129897,12/30/2017,E,0,SPORT,,E
1130034,1/18/2017,E,3,SPORT,,E
1130143,1/18/2017,E,3,SPORT,,E
1130361,1/20/2017,E,3,SPORT,,E
1130361,2/7/2017,E,3,SPORT,,E
1130361,2/18/2017,E,3,SPORT,,E
1130361,12/28/2017,E,1,SPORT,,E
1130470,1/7/2017,E,1,SPORT,,E
1130470,1/20/2017,E,3,SPORT,,E
1130470,1/21/2017,E,3,SPORT,,E
1130470,2/18/2017,E,3,SPORT,,E
1130579,1/7/2017,E,3,SPORT,,E
1130579,1/20/2017,E,3,SPORT,,E
1130579,1/21/2017,E,3,SPORT,,E
1130579,2/7/2017,E,3,SPORT,,E
1130579,2/17/2017,E,3,SPORT,,E
1130579,2/18/2017,E,3,SPORT,,E
1130806,12/21/2017,E,3,SPORT,,E
1131288,1/10/2017,E,3,SPORT,,E
1131288,1/18/2017,E,3,SPORT,,E
1131288,12/21/2017,E,3,SPORT,,E
1131397,12/22/2017,,0,SPORT,,COOK INLET AND NORTH GULF COAST
1131406,12/22/2017,,0,SPORT,,COOK INLET AND NORTH GULF COAST
1131624,12/21/2017,E,3,SPORT,,E
1131951,12/22/2017,E,2,SPORT,,E
1132660,12/23/2017,,1,SPORT,,K09H
1133170,12/27/2017,E,0,SPORT,,E-KACHEMAK WEST
1133279,12/27/2017,E,2,SPORT,,E
1133497,1/3/2017,E,3,SPORT,,E
1133497,1/4/2017,E,3,SPORT,,E
1133497,12/24/2017,E,3,SPORT,,E
1133497,12/26/2017,E,3,SPORT,,E
1133615,12/24/2017,E,3,SPORT,,E
1133724,1/2/2017,E,1,SPORT,,E
1134324,12/15/2017,,3,SPORT,,H
1134651,12/27/2017,E,0,SPORT,,515935
1135052,1/15/2017,E,3,SPORT,,E
1135052,1/20/2017,E,3,SPORT,,E
1135052,1/21/2017,E,3,SPORT,,E
1135052,12/24/2017,E,3,SPORT,,E
1135052,12/26/2017,E,3,SPORT,,E
1135488,12/27/2017,E,3,SPORT,,E
1135597,12/27/2017,E,0,SPORT,,E
1135597,12/28/2017,E,0,SPORT,,E
1135606,12/28/2017,E,0,SPORT,,KACHEMAK BAY
1136088,12/28/2017,E,2,SPORT,,E
1136197,12/28/2017,E,2,SPORT,,E
1136206,12/27/2017,E,2,SPORT,,E
1136533,12/28/2017,E,2,SPORT,,E
1136751,12/18/2017,E,3,SPORT,,KACHEMAK E
1136860,12/27/2017,E,2,SPORT,,E
1136969,12/27/2017,E,0,SPORT,,KACHEMACK BAY
1137043,12/27/2017,E,0,SPORT,,KACHEMACK BAY
1137261,12/27/2017,E,3,SPORT,,KATCHEMAK BAY
1137370,12/27/2017,E,2,SPORT,,KATCHEMAK BAY
1137479,12/15/2017,E,3,SPORT,,E
1137588,12/27/2017,E,3,SPORT,,KATCHEMAK BAY
1137924,1/17/2017,D,3,SPORT,,D
1137924,12/28/2017,E,3,SPORT,,E
1138079,12/28/2017,D,3,SPORT,,SECTION D
1138524,12/28/2017,E,3,SPORT,,KACHEMAK BAY  WEST OF HOMER SPIT  (E)
1138633,12/28/2017,E,2,SPORT,,E
1138742,12/28/2017,E,2,SPORT,,E
1138851,12/28/2017,E,1,SPORT,,E
1138960,12/28/2017,E,1,SPORT,,E
1139143,12/28/2017,E,3,SPORT,,E
1139252,12/28/2017,E,3,SPORT,,E
1139361,12/28/2017,E,3,SPORT,,E
1139470,12/28/2017,E,3,SPORT,,E
1139688,2/15/2017,E,9,SPORT,,E
1139806,1/21/2017,E,3,SPORT,,E
1139806,2/14/2017,E,3,SPORT,,E
1140370,1/1/2017,E,3,SPORT,,E
1140706,1/4/2017,D,0,SPORT,,D
