PERMIT,HARVDATE,RED,KING,COHO,PINK,CHUM,FLOUNDER,FISHERY
2,7/15/2017,40,0,0,0,0,0,KASILOF
4,7/18/2017,20,0,0,0,0,0,KENAI
4,7/19/2017,25,0,0,0,0,0,KENAI
8,7/20/2017,16,1,0,0,0,0,KENAI
13,6/26/2017,1,0,0,0,0,0,KASILOF
14,7/17/2017,3,0,0,0,0,0,KENAI
15,7/16/2017,12,0,0,0,0,0,UNKNOWN
15,7/25/2017,14,0,0,0,0,0,UNKNOWN
15,7/30/2017,7,0,0,0,0,0,UNKNOWN
16,7/14/2017,7,0,0,0,0,0,KENAI
17,7/15/2017,11,0,0,0,0,0,KENAI
17,7/16/2017,3,0,0,0,0,0,KENAI
17,7/22/2017,12,0,0,0,0,0,KENAI
17,7/23/2017,9,0,0,0,0,0,KENAI
18,7/19/2017,15,0,0,0,0,0,KENAI
18,7/28/2017,5,0,0,0,0,0,KENAI
19,7/10/2017,19,0,0,0,0,0,KENAI
19,7/12/2017,8,0,0,0,0,0,KENAI
19,7/16/2017,8,0,0,0,0,0,UNKNOWN
21,6/16/2017,16,0,0,0,0,0,KASILOF
21,6/17/2017,20,0,0,0,0,0,KASILOF
22,7/9/2017,7,0,0,0,0,0,KASILOF
22,7/23/2017,15,0,0,5,0,0,KENAI
22,7/24/2017,11,0,0,0,0,0,KASILOF
23,6/17/2017,10,1,0,0,0,3,KASILOF
25,7/23/2017,22,0,0,0,0,0,KENAI
25,7/24/2017,23,0,0,0,0,0,KENAI
26,6/22/2017,22,0,0,0,0,0,KASILOF
27,6/16/2017,2,0,0,0,0,0,KASILOF
27,6/17/2017,9,0,0,0,0,0,KASILOF
27,6/18/2017,17,0,0,0,0,0,KASILOF
28,6/16/2017,45,0,0,0,0,0,KASILOF
30,6/15/2017,22,0,0,0,0,0,KASILOF
30,6/16/2017,17,0,0,0,0,0,KASILOF
30,6/17/2017,14,0,0,0,0,0,KASILOF
30,6/18/2017,7,0,0,0,0,0,KASILOF
31,7/26/2017,6,0,0,1,0,0,KENAI
33,7/16/2017,12,0,0,1,0,0,KENAI
35,7/20/2017,17,0,0,0,0,0,KENAI
38,7/15/2017,3,0,0,0,0,0,KENAI
38,7/16/2017,3,0,0,0,0,0,UNKNOWN
38,7/22/2017,3,0,0,0,0,0,UNKNOWN
38,7/23/2017,2,0,0,0,0,0,UNKNOWN
41,7/23/2017,15,0,0,0,0,0,KENAI
43,7/22/2017,3,0,0,0,0,0,KENAI
44,6/28/2017,1,0,0,0,0,0,KASILOF
44,7/19/2017,6,0,0,0,0,0,KENAI
44,7/26/2017,7,0,0,1,0,0,KENAI
44,8/2/2017,16,0,0,0,0,0,KASILOF
44,8/6/2017,14,0,0,0,0,0,KASILOF
47,7/12/2017,2,1,0,1,0,0,KENAI
47,7/25/2017,21,0,0,0,0,0,KENAI
48,7/9/2017,5,0,0,0,0,1,KASILOF
48,7/29/2017,20,0,0,0,0,0,KENAI
49,7/27/2017,23,0,0,1,0,0,KENAI
52,7/17/2017,18,0,0,5,0,0,KENAI
53,7/20/2017,4,0,0,0,0,0,KENAI
57,7/23/2017,24,0,0,1,0,0,KENAI
58,6/27/2017,1,0,0,0,0,0,KASILOF
58,7/4/2017,15,0,0,0,0,0,KASILOF
58,7/18/2017,8,0,0,0,0,0,KASILOF
59,7/16/2017,1,0,0,0,0,0,KASILOF
62,7/17/2017,10,0,0,1,0,0,KENAI
63,7/15/2017,0,0,0,0,0,0,KENAI
66,6/23/2017,8,0,0,0,0,0,KASILOF
68,7/14/2017,15,0,0,0,0,0,KASILOF
68,7/15/2017,5,0,0,0,0,0,KASILOF
69,7/18/2017,7,0,0,0,0,0,KENAI
69,7/23/2017,4,0,0,0,0,0,KENAI
69,7/31/2017,1,0,0,0,0,0,KENAI
70,6/25/2017,2,0,0,0,0,0,KASILOF
70,7/8/2017,12,0,0,0,0,0,KASILOF
70,7/22/2017,15,0,0,0,0,0,KASILOF
70,7/23/2017,12,0,0,0,0,0,KASILOF
72,7/3/2017,19,0,0,1,0,0,KASILOF
72,7/4/2017,9,0,0,0,0,0,KASILOF
73,6/25/2017,0,0,0,0,0,0,KASILOF
73,7/13/2017,1,0,0,0,0,0,KENAI
73,7/24/2017,1,0,0,0,0,0,KENAI
73,8/6/2017,2,0,0,0,0,0,KENAI
74,7/10/2017,11,0,0,0,0,0,KASILOF
74,7/11/2017,10,0,0,0,0,0,KENAI
74,7/14/2017,1,0,0,0,0,0,KENAI
74,7/21/2017,4,0,0,0,0,0,KENAI
74,7/22/2017,3,1,0,0,0,0,KENAI
75,7/26/2017,18,0,0,3,0,0,KENAI
77,7/16/2017,1,0,0,0,0,0,KENAI
79,7/14/2017,4,0,0,0,0,0,KASILOF
79,7/15/2017,9,0,0,1,0,0,KASILOF
79,7/16/2017,12,0,0,2,0,0,KASILOF
81,6/26/2017,6,0,0,0,0,0,KASILOF
81,7/12/2017,17,0,0,0,0,0,KASILOF
81,7/23/2017,4,0,0,0,0,0,UNKNOWN
83,7/21/2017,8,0,0,0,0,0,KENAI
84,6/30/2017,3,0,0,0,0,0,KASILOF
84,7/10/2017,10,0,0,0,0,0,KASILOF
85,7/15/2017,8,0,0,0,0,1,KENAI
85,7/22/2017,22,0,0,0,0,2,KENAI
86,7/23/2017,20,0,0,0,0,0,KENAI
87,6/28/2017,2,0,0,0,0,0,KASILOF
87,6/29/2017,2,0,0,0,0,0,KASILOF
87,6/30/2017,16,0,0,0,0,0,KASILOF
87,7/1/2017,3,0,0,0,0,0,KASILOF
88,7/23/2017,28,0,0,0,0,0,KENAI
88,7/24/2017,14,0,0,0,0,0,KENAI
90,7/20/2017,10,0,0,0,0,0,KENAI
91,7/2/2017,8,0,0,0,0,0,KASILOF
91,7/12/2017,14,0,0,0,0,0,KASILOF
91,7/24/2017,33,0,0,0,0,0,KENAI
92,7/10/2017,6,0,0,0,0,0,KENAI
