PERMIT,HARVDATE,RED,KING,COHO,PINK,CHUM,FLOUNDER,FISHERY
89,7/20/2016,0,0,0,0,0,0,KENAI
90,7/20/2016,0,0,0,0,0,0,KASILOF
91,7/14/2016,3,0,0,0,0,0,KENAI
92,7/24/2016,26,0,0,0,0,1,UNKNOWN
92,7/29/2016,17,0,0,0,0,0,UNKNOWN
94,7/13/2016,7,0,0,0,0,0,KENAI
95,7/20/2016,2,0,0,0,0,0,KASILOF
96,7/12/2016,1,0,0,0,0,0,KENAI
97,7/21/2016,15,0,0,0,0,0,KENAI
98,7/21/2016,4,0,0,0,0,0,KENAI
98,7/22/2016,31,0,0,0,0,0,KENAI
99,7/15/2016,22,0,0,0,0,0,KENAI
101,7/21/2016,0,0,0,0,0,0,KENAI
102,7/18/2016,2,0,0,0,0,0,KENAI
103,7/21/2016,1,0,0,0,0,0,KENAI
106,7/24/2016,1,0,0,0,0,0,KENAI
106,7/25/2016,1,0,0,0,0,0,KENAI
106,7/26/2016,0,0,0,0,0,0,KENAI
106,7/30/2016,3,0,0,0,0,0,KENAI
106,7/31/2016,2,0,0,0,0,0,KENAI
107,7/1/2016,0,0,0,0,0,0,KENAI
108,7/15/2016,9,0,0,0,0,0,KENAI
117,7/31/2016,20,0,0,1,0,0,KENAI
118,7/17/2016,15,0,0,0,0,0,KENAI
119,7/16/2016,2,0,0,0,0,0,KENAI
119,7/17/2016,23,0,0,0,0,0,KENAI
119,7/24/2016,20,0,0,0,0,0,KENAI
120,7/22/2016,18,0,0,3,0,2,KENAI
120,7/23/2016,13,0,0,0,0,0,KENAI
122,7/17/2016,9,0,0,0,0,0,KENAI
122,7/18/2016,0,0,0,0,0,0,KENAI
122,7/22/2016,10,0,0,0,0,0,UNKNOWN
122,7/23/2016,0,0,0,0,0,0,KENAI
124,7/16/2016,11,0,0,0,0,0,KENAI
126,7/25/2016,26,1,0,0,0,0,KENAI
127,7/26/2016,1,0,0,0,0,0,KENAI
128,7/15/2016,4,0,0,0,0,0,KENAI
129,7/16/2016,6,0,0,0,0,2,KENAI
129,7/23/2016,9,0,0,0,0,0,KENAI
131,7/23/2016,6,0,0,0,0,0,KENAI
132,7/20/2016,10,0,0,0,0,0,KENAI
133,7/17/2016,8,0,0,0,0,0,KENAI
133,7/18/2016,6,0,0,0,0,0,KENAI
133,7/29/2016,8,0,0,0,0,0,UNKNOWN
134,7/15/2016,2,0,0,0,0,0,KENAI
135,7/16/2016,1,0,0,0,0,0,KENAI
136,7/16/2016,0,0,0,0,0,0,KENAI
137,7/16/2016,2,0,0,0,0,0,KENAI
137,7/28/2016,5,0,0,0,0,0,KENAI
139,7/22/2016,38,0,0,0,0,0,KENAI
140,8/19/2016,6,0,0,0,0,0,KENAI
141,7/30/2016,5,0,3,4,3,0,KENAI
143,7/15/2016,2,0,0,0,0,0,KENAI
143,7/21/2016,23,0,0,0,0,0,KENAI
146,7/15/2016,0,0,0,0,0,0,UNKNOWN
147,7/21/2016,35,0,0,0,0,0,KENAI
150,7/15/2016,7,0,0,0,0,1,KASILOF
150,7/16/2016,6,0,0,0,0,0,KASILOF
151,8/16/2016,9,0,0,0,0,0,KENAI
153,7/8/2016,8,0,0,0,0,0,KASILOF
153,7/20/2016,1,0,0,0,0,0,KENAI
153,7/21/2016,9,0,0,3,0,0,UNKNOWN
155,7/18/2016,3,0,0,0,0,0,KENAI
156,7/19/2016,9,0,0,0,0,0,KENAI
156,7/24/2016,36,0,0,0,0,0,KENAI
157,7/29/2016,35,0,0,0,0,0,KENAI
158,7/16/2016,11,0,0,0,0,0,KENAI
160,7/23/2016,0,0,0,0,0,0,KENAI
160,7/24/2016,12,0,0,0,0,0,KENAI
160,7/30/2016,8,0,0,0,0,0,KENAI
160,7/31/2016,7,0,0,0,1,0,KENAI
169,7/25/2016,19,0,0,1,0,0,KENAI
170,7/16/2016,10,0,0,0,0,0,KENAI
170,7/18/2016,4,0,0,0,0,0,KENAI
170,7/20/2016,5,0,0,0,0,0,KENAI
170,7/21/2016,9,0,0,0,0,0,KENAI
170,7/22/2016,5,0,0,0,0,0,KENAI
170,7/23/2016,2,0,0,0,0,0,KENAI
172,7/16/2016,2,0,0,0,0,0,KENAI
173,7/24/2016,25,0,0,0,0,0,KENAI
174,7/11/2016,5,0,0,0,0,1,KENAI
177,7/24/2016,2,0,0,0,0,0,KENAI
177,7/26/2016,12,0,0,0,0,0,KENAI
177,7/27/2016,5,0,0,0,0,0,KENAI
177,7/29/2016,6,0,0,0,0,0,KENAI
178,7/16/2016,2,0,0,0,0,1,KENAI
178,7/27/2016,33,0,0,0,0,0,KENAI
181,7/16/2016,16,0,0,0,0,0,KENAI
182,7/16/2016,17,0,0,0,0,0,KENAI
182,7/17/2016,26,0,0,0,0,0,KENAI
183,7/15/2016,0,0,0,0,0,0,KENAI
185,7/18/2016,6,0,0,0,0,0,KASILOF
185,7/19/2016,2,0,1,0,0,0,KASILOF
185,7/20/2016,3,0,1,0,0,0,KASILOF
186,7/23/2016,10,0,0,0,0,0,KENAI
186,7/24/2016,0,0,0,0,0,0,UNKNOWN
187,7/26/2016,4,0,0,0,0,0,KENAI
194,7/17/2016,29,1,0,0,0,0,KENAI
196,7/22/2016,21,0,0,0,0,0,KENAI
196,7/23/2016,4,0,0,0,0,0,UNKNOWN
197,7/15/2016,2,0,0,0,0,0,KASILOF
200,7/18/2016,1,0,0,0,0,0,KENAI
200,7/19/2016,3,0,0,0,0,0,KENAI
201,7/15/2016,7,0,0,0,0,0,KENAI
201,7/16/2016,1,0,0,0,0,1,KENAI
201,7/17/2016,9,0,0,0,0,1,KENAI
201,7/18/2016,9,0,0,0,0,0,KENAI
201,7/23/2016,15,0,0,0,0,0,KENAI
201,7/24/2016,2,0,0,0,0,0,KENAI
203,7/17/2016,5,0,0,0,0,0,KENAI
203,7/18/2016,4,0,0,0,0,0,KENAI
206,7/22/2016,0,0,0,0,0,0,KASILOF
208,7/24/2016,0,0,10,0,0,0,KENAI
209,7/18/2016,7,0,0,0,0,0,KENAI
210,7/13/2016,0,0,0,0,0,0,KENAI
211,7/19/2016,6,0,0,0,0,0,KENAI
212,7/17/2016,7,0,0,0,0,0,KENAI
213,7/17/2016,4,0,0,0,0,0,KENAI
213,7/23/2016,21,0,0,0,0,0,KENAI
213,7/25/2016,3,0,0,0,0,0,KENAI
216,7/23/2016,10,0,0,0,0,0,KENAI
216,7/24/2016,7,0,0,0,0,0,KENAI
216,7/29/2016,25,0,0,0,0,0,KENAI
216,7/30/2016,9,0,0,0,0,0,KENAI
219,7/17/2016,12,0,0,0,0,0,KENAI
219,7/19/2016,11,1,0,0,0,0,KENAI
222,7/18/2016,16,0,0,0,0,0,KENAI
224,7/23/2016,21,0,0,0,0,0,KENAI
225,7/18/2016,8,0,0,0,0,0,KENAI
225,7/25/2016,20,0,0,0,0,0,KENAI
227,7/22/2016,13,0,0,0,0,0,KENAI
231,7/18/2016,15,0,3,0,0,0,KENAI
232,7/17/2016,6,0,0,0,0,0,KASILOF
234,7/16/2016,23,0,0,0,0,0,KENAI
235,7/18/2016,24,0,0,0,0,0,KENAI
235,7/31/2016,11,0,0,0,0,0,KENAI
237,7/15/2016,7,0,0,0,0,1,KENAI
238,7/16/2016,2,0,0,0,0,0,KENAI
239,7/16/2016,8,1,0,0,0,0,KENAI
242,7/22/2016,5,0,0,0,0,0,KASILOF
242,7/23/2016,0,0,0,1,0,0,KASILOF
242,7/24/2016,0,0,0,1,0,0,KASILOF
242,7/25/2016,0,0,0,0,0,0,KASILOF
244,7/22/2016,15,0,0,0,0,0,KENAI
