"","permit","fishery","red","king","coho","pink","chum","flounder","mailing","status","city"
"65",201,"KASILOF DIPNET",25,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"66",202,"KASILOF DIPNET",35,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"67",203,"KENAI",30,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"68",204,"KENAI",10,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"69",207,"KENAI",0,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"70",210,"KASILOF DIPNET",0,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"71",210,"KENAI",0,0,0,3,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"72",211,"KENAI",11,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"73",213,"KENAI",40,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"74",214,"KASILOF DIPNET",46,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"75",217,"FISH CREEK",2,0,0,0,0,0,0,"HARVEST REPORTED","WASILLA"
"76",217,"KASILOF DIPNET",15,0,0,0,0,1,0,"HARVEST REPORTED","WASILLA"
"77",218,"KASILOF DIPNET",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"78",218,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"79",220,"UNKNOWN",12,0,0,3,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"80",222,"KENAI",19,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"81",224,"KASILOF GILLNET",1,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"82",225,"KENAI",6,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"83",226,"KENAI",11,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"84",228,"KENAI",1,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"85",229,"KENAI",26,0,0,1,0,0,0,"HARVEST REPORTED","CHUGIAK"
"86",230,"KENAI",45,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"87",231,"KASILOF DIPNET",25,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"88",232,"KENAI",14,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"89",236,"KASILOF DIPNET",62,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
