gear_mark,section_mark,len_mark,tag,section_recap,len_recap,gear_recap,mark,recap,both_events
Angling,3,406,1196,2,430,Gill Net,1,1,1
Angling,3,306,1197,NA,NA,NA,1,0,0
Angling,3,421,1199,3,443,Gill Net,1,1,1
Angling,2,397,1200,2,404,Gill Net,1,1,1
Angling,2,576,1201,2,564,Gill Net,1,1,1
Angling,2,390,1202,1,405,Gill Net,1,1,1
Angling,2,391,1203,2,402,Gill Net,1,1,1
Angling,2,423,1204,1,418,Gill Net,1,1,1
Angling,2,510,1205,2,516,Gill Net,1,1,1
Angling,2,405,1206,3,390,Gill Net,1,1,1
Angling,2,510,1207,1,535,Gill Net,1,1,1
Angling,2,495,1208,3,505,Gill Net,1,1,1
Angling,2,403,1209,1,418,Gill Net,1,1,1
Angling,2,427,1210,NA,NA,NA,1,0,0
Angling,2,396,1211,3,414,Gill Net,1,1,1
Angling,2,455,1212,3,452,Gill Net,1,1,1
Angling,2,368,1213,2,372,Angler,1,1,1
Angling,2,325,1214,NA,NA,NA,1,0,0
Angling,2,335,1215,NA,NA,NA,1,0,0
Angling,2,372,1216,NA,NA,NA,1,0,0
Angling,2,390,1217,NA,NA,NA,1,0,0
Angling,2,419,1218,1,418,Gill Net,1,1,1
Angling,2,575,1219,4,584,Gill Net,1,1,1
Angling,2,445,1220,4,444,Gill Net,1,1,1
Angling,2,430,1221,1,443,Gill Net,1,1,1
Angling,2,320,1222,2,340,Gill Net,1,1,1
Angling,2,479,1224,3,452,Angler,1,1,1
Angling,3,370,1225,NA,NA,NA,1,0,0
Angling,3,570,1226,4,591,Gill Net,1,1,1
Angling,3,465,1227,2,477,Gill Net,1,1,1
Angling,3,365,1228,3,378,Angler,1,1,1
Angling,3,390,1229,3,394,Gill Net,1,1,1
Angling,2,310,1230,2,336,Gill Net,1,1,1
Angling,2,430,1231,3,450,Gill Net,1,1,1
Angling,2,366,1232,NA,NA,NA,1,0,0
Angling,2,435,1233,3,444,Gill Net,1,1,1
Angling,2,502,1234,3,518,Gill Net,1,1,1
