"","city","permits_issued","permits_returned","permits_not_returned","permits_fished","no_return_but_fished","fishery","red","king","coho","pink","chum","flounder","exp_reds","exp_kings","exp_coho","exp_pink","exp_chum","exp_flounder"
"54","CHUGIAK",494,406,88,345,60.24,"FISH CREEK",435,0,37,3,0,0,511,0,43,4,0,0
"55","CHUGIAK",494,406,88,345,60.24,"KASILOF DIPNET",1875,0,11,68,2,11,2202,0,13,80,2,12.9206956521739
"56","CHUGIAK",494,406,88,345,60.24,"KASILOF GILLNET",86,1,0,0,0,5,101,1,0,0,0,5.87304347826087
"57","CHUGIAK",494,406,88,345,60.24,"KENAI",3808,0,14,166,1,50,4473,0,16,195,1,58.7304347826087
"58","CHUGIAK",494,406,88,345,60.24,"UNKNOWN",43,0,0,2,0,0,51,0,0,2,0,0
"59","CLAM GULCH",35,30,5,16,3.42,"KASILOF DIPNET",113,0,8,14,1,0,137,0,10,17,1,0
"60","CLAM GULCH",35,30,5,16,3.42,"KASILOF GILLNET",101,0,0,0,0,0,123,0,0,0,0,0
"61","CLAM GULCH",35,30,5,16,3.42,"KENAI",60,0,1,4,0,0,73,0,1,5,0,0
"62","CLEAR",3,1,2,1,1.37,"KASILOF DIPNET",2,0,0,0,0,0,5,0,0,0,0,0
"63","CLEAR",3,1,2,1,1.37,"KENAI",17,0,0,0,0,0,40,0,0,0,0,0
"64","COOPER LANDING",13,12,1,7,0.68,"KASILOF DIPNET",21,0,0,5,0,0,23,0,0,5,0,0
"65","COOPER LANDING",13,12,1,7,0.68,"KENAI",30,0,3,6,0,0,33,0,3,7,0,0
"66","COPPER CENTER",5,5,0,5,0,"KASILOF DIPNET",6,0,0,0,0,0,6,0,0,0,0,0
"67","COPPER CENTER",5,5,0,5,0,"KENAI",57,0,0,0,0,5,57,0,0,0,0,5
"68","CORDOVA",2,1,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","COVINGTON",1,1,0,1,0,"KENAI",0,0,0,0,0,0,0,0,0,0,0,0
"70","CRAIG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","DALLAS",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","DEERING",1,1,0,1,0,"KASILOF DIPNET",29,0,0,0,0,0,29,0,0,0,0,0
"73","DELTA JCT",1,1,0,1,0,"KENAI",1,0,0,0,0,0,1,0,0,0,0,0
"74","DELTA JUNCTION",42,36,6,28,4.11,"FISH CREEK",12,0,0,0,0,0,14,0,0,0,0,0
"75","DELTA JUNCTION",42,36,6,28,4.11,"KASILOF DIPNET",52,0,0,0,0,0,60,0,0,0,0,0
"76","DELTA JUNCTION",42,36,6,28,4.11,"KENAI",373,0,5,22,0,14,428,0,6,25,0,16.055
"77","DELTA JUNCTION",42,36,6,28,4.11,"UNKNOWN",67,0,0,10,0,0,77,0,0,11,0,0
"78","DENALI PARK",23,22,1,14,0.68,"KASILOF DIPNET",164,0,1,0,0,1,172,0,1,0,0,1.04857142857143
"79","DENALI PARK",23,22,1,14,0.68,"KENAI",118,0,0,5,0,0,124,0,0,5,0,0
"80","DIVIDE",1,1,0,1,0,"KENAI",18,0,0,0,0,0,18,0,0,0,0,0
"81","DOUGLAS",4,2,2,2,1.37,"KASILOF DIPNET",20,0,0,0,0,0,34,0,0,0,0,0
"82","DOUGLAS",4,2,2,2,1.37,"UNKNOWN",0,0,0,0,0,0,0,0,0,0,0,0
"83","DUNCANVILLE",1,1,0,1,0,"FISH CREEK",25,0,10,0,0,0,25,0,10,0,0,0
"84","EAGLE",2,2,0,1,0,"KASILOF GILLNET",14,0,0,0,0,0,14,0,0,0,0,0
"85","EAGLE RIVER",1473,1231,242,1011,165.66,"FISH CREEK",567,0,82,46,4,0,660,0,95,54,5,0
"86","EAGLE RIVER",1473,1231,242,1011,165.66,"KASILOF DIPNET",3949,0,48,106,18,27,4596,0,56,123,21,31.4241543026706
"87","EAGLE RIVER",1473,1231,242,1011,165.66,"KASILOF GILLNET",143,4,0,0,0,0,166,5,0,0,0,0
"88","EAGLE RIVER",1473,1231,242,1011,165.66,"KENAI",11067,0,17,584,15,118,12880,0,20,680,17,137.335192878338
"89","EAGLE RIVER",1473,1231,242,1011,165.66,"UNKNOWN",121,0,0,11,0,0,141,0,0,13,0,0
"90","EDWARDS",2,2,0,1,0,"KENAI",6,0,0,0,0,0,6,0,0,0,0,0
"91","EIELSON AFB",11,11,0,11,0,"KASILOF DIPNET",95,0,0,0,0,0,95,0,0,0,0,0
"92","EIELSON AFB",11,11,0,11,0,"KENAI",97,0,0,23,0,3,97,0,0,23,0,3
"93","ELMENDORF AFB",2,1,1,1,0.68,"KENAI",13,0,0,0,0,0,22,0,0,0,0,0
"94","ESTER",8,5,3,4,2.05,"FISH CREEK",30,0,2,1,0,0,45,0,3,2,0,0
"95","ESTER",8,5,3,4,2.05,"KENAI",15,0,0,10,0,0,23,0,0,15,0,0
"96","FAIRBANKS",411,334,77,264,52.71,"FISH CREEK",49,0,2,1,0,0,59,0,2,1,0,0
"97","FAIRBANKS",411,334,77,264,52.71,"KASILOF DIPNET",1421,0,7,33,1,7,1705,0,8,40,1,8.39761363636364
"98","FAIRBANKS",411,334,77,264,52.71,"KASILOF GILLNET",209,1,0,1,0,10,251,1,0,1,0,11.9965909090909
"99","FAIRBANKS",411,334,77,264,52.71,"KENAI",2872,1,0,192,3,31,3445,1,0,230,4,37.1894318181818
"100","FAIRBANKS",411,334,77,264,52.71,"UNKNOWN",15,0,1,1,0,0,18,0,1,1,0,0
"101","FAIRFAX",1,1,0,1,0,"KENAI",20,0,0,0,0,0,20,0,0,0,0,0
"102","FAIRFIELD",1,1,0,1,0,"KASILOF DIPNET",19,0,0,0,0,0,19,0,0,0,0,0
"103","FALLS CHURCH",1,1,0,1,0,"KASILOF DIPNET",36,0,0,0,0,0,36,0,0,0,0,0
"104","FALLS CHURCH",1,1,0,1,0,"KENAI",14,0,0,2,0,0,14,0,0,2,0,0
"105","FAYETTEVILLE",1,1,0,1,0,"KENAI",15,0,0,0,0,0,15,0,0,0,0,0
"106","FORT BRAGG",1,1,0,1,0,"KENAI",2,0,0,0,0,3,2,0,0,0,0,3
"107","FORT CAMPBELL",1,1,0,1,0,"KENAI",30,0,0,0,0,0,30,0,0,0,0,0
"108","FORT GREELY",3,1,2,1,1.37,"KENAI",14,0,0,0,0,0,33,0,0,0,0,0
"109","FORT HOOD",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","FORT LEAVENWORTH",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","FORT RICHARDSON",2,2,0,1,0,"KASILOF DIPNET",6,0,0,0,0,3,6,0,0,0,0,3
"112","FORT WAINWRIGHT",14,14,0,11,0,"KASILOF DIPNET",28,0,0,0,0,0,28,0,0,0,0,0
"113","FORT WAINWRIGHT",14,14,0,11,0,"KENAI",124,0,2,29,0,12,124,0,2,29,0,12
"114","FRITZ CREEK",22,19,3,15,2.05,"KASILOF DIPNET",123,0,0,0,1,0,140,0,0,0,1,0
"115","FRITZ CREEK",22,19,3,15,2.05,"KENAI",78,0,0,5,0,0,89,0,0,6,0,0
"116","FRITZ CREEK",22,19,3,15,2.05,"UNKNOWN",7,0,0,0,0,0,8,0,0,0,0,0
"117","FT RICHARDSON",1,1,0,1,0,"KENAI",2,0,0,1,0,0,2,0,0,1,0,0
"118","FT WAINWRIGHT",2,2,0,2,0,"KENAI",12,0,0,0,0,0,12,0,0,0,0,0
"119","GAKONA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","GALENA",3,2,1,1,0.68,"KENAI",37,0,0,0,0,0,62,0,0,0,0,0
"121","GAMBELL",2,0,2,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","GIRDWOD",1,1,0,1,0,"KASILOF DIPNET",6,0,0,0,0,0,6,0,0,0,0,0
"123","GIRDWOOD",177,149,28,120,19.17,"FISH CREEK",16,0,0,0,0,0,19,0,0,0,0,0
"124","GIRDWOOD",177,149,28,120,19.17,"KASILOF DIPNET",845,0,12,15,8,7,980,0,14,17,9,8.11825
"125","GIRDWOOD",177,149,28,120,19.17,"KASILOF GILLNET",62,1,0,0,0,0,72,1,0,0,0,0
"126","GIRDWOOD",177,149,28,120,19.17,"KENAI",872,0,1,43,0,7,1011,0,1,50,0,8.11825
"127","GIRDWOOD",177,149,28,120,19.17,"UNKNOWN",8,2,0,0,0,0,9,2,0,0,0,0
"128","GLEN RIDGE",1,1,0,1,0,"KENAI",4,0,0,0,0,0,4,0,0,0,0,0
