"","city","permits_issued","permits_returned","permits_not_returned","permits_fished","no_return_but_fished","fishery","red","king","coho","pink","chum","flounder","exp_reds","exp_kings","exp_coho","exp_pink","exp_chum","exp_flounder"
"185","KOTZEBUE",16,9,7,6,4.79,"KENAI",56,0,0,0,0,0,101,0,0,0,0,0
"186","KWETHLUK",1,1,0,1,0,"KASILOF DIPNET",20,0,0,0,0,0,20,0,0,0,0,0
"187","LAS VEGAS",1,1,0,1,0,"KENAI",0,0,0,0,0,0,0,0,0,0,0,0
"188","LIVENGOOD",1,1,0,1,0,"KASILOF DIPNET",55,0,0,0,0,0,55,0,0,0,0,0
"189","LYNNWOOD",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","MC GRATH",2,0,2,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","MONUMENT",1,1,0,1,0,"KENAI",4,0,0,0,0,0,4,0,0,0,0,0
"192","MOOSE PASS",17,14,3,9,2.05,"KASILOF DIPNET",25,0,0,0,0,0,31,0,0,0,0,0
"193","MOOSE PASS",17,14,3,9,2.05,"KENAI",43,0,0,9,0,1,53,0,0,11,0,1.22777777777778
"194","MOUNTAIN VILLAGE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","NENANA",13,11,2,9,1.37,"KASILOF DIPNET",37,0,3,4,7,2,43,0,3,5,8,2.30444444444444
"196","NENANA",13,11,2,9,1.37,"KASILOF GILLNET",20,0,0,0,0,2,23,0,0,0,0,2.30444444444444
"197","NENANA",13,11,2,9,1.37,"KENAI",104,0,0,1,0,0,120,0,0,1,0,0
"198","NEW BRAUNFELS",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","NICEVILLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","NIKISKI",108,80,28,41,19.17,"KASILOF DIPNET",65,0,5,2,0,1,95,0,7,3,0,1.46756097560976
"201","NIKISKI",108,80,28,41,19.17,"KASILOF GILLNET",53,1,0,0,0,0,78,1,0,0,0,0
"202","NIKISKI",108,80,28,41,19.17,"KENAI",433,0,1,40,0,6,635,0,1,59,0,8.80536585365854
"203","NIKOLAEVSK",7,7,0,4,0,"KASILOF DIPNET",1,0,0,0,0,0,1,0,0,0,0,0
"204","NIKOLAEVSK",7,7,0,4,0,"KASILOF GILLNET",10,0,0,0,0,0,10,0,0,0,0,0
